Source,Target
1.17078E+18,2510162390
1.17078E+18,115763683
1.17078E+18,2249045844
1.17078E+18,7.18175E+17
1.17078E+18,311842530
1.17078E+18,341000847
1.17078E+18,597868047
1.17078E+18,21828411
1.17078E+18,327122348
1.17078E+18,9.61977E+17
1.17078E+18,4826825292
1.17078E+18,53669874
1.17078E+18,583637312
1.17078E+18,64313421
1.17078E+18,1441892108
1.17078E+18,1890694861
1.17078E+18,164241783
1.17078E+18,16507835
1.17078E+18,2998896042
1.17078E+18,2452044510
1.17078E+18,503452360
1.17078E+18,3098250995
1.17078E+18,305960097
1.17078E+18,507824939
1.17078E+18,31735592
1.17078E+18,481102014
1.17078E+18,17354555
1.17078E+18,1.00221E+18
1.17078E+18,85648537
1.17078E+18,3300214874
2439364105,480096999
2439364105,438349365
2439364105,232294292
2439364105,768092862
2439364105,1.16379E+18
2439364105,1.17038E+18
2439364105,1.04979E+18
2439364105,16493519
2439364105,9.89821E+17
2439364105,1.02794E+18
2439364105,9.72547E+17
2439364105,7.97491E+17
2439364105,361340466
2439364105,1259610054
2439364105,2371584827
2439364105,2577596593
2439364105,271098761
2439364105,86340259
2439364105,41216797
2439364105,59878994
2439364105,853111176
2439364105,113613491
2439364105,2598140246
2439364105,8.3059E+17
2439364105,2850858010
2439364105,1439275952
2439364105,2228878592
2439364105,167089528
2439364105,9.01304E+17
2439364105,163434088
2439364105,89421672
2439364105,50940456
2439364105,1.07122E+18
2439364105,9.15299E+17
2439364105,21909506
2439364105,58355214
2439364105,7.20693E+17
2439364105,407766714
2439364105,107391777
2439364105,206255645
2439364105,9.30542E+17
2439364105,2706909306
2439364105,1710432714
2439364105,54320754
2439364105,322460769
2439364105,8.90798E+17
2439364105,9.6092E+17
2439364105,29843511
2439364105,873798097
2439364105,7646662
2439364105,216061876
2439364105,1.02005E+18
2439364105,47719384
2439364105,2826578782
2439364105,20538904
2439364105,2975210176
2439364105,59547205
2439364105,33838201
2439364105,3012705475
2439364105,3723175821
2439364105,8.92049E+17
2439364105,1938551161
2439364105,2202427550
2439364105,8.75725E+17
2439364105,8.25185E+17
2439364105,487833518
2439364105,32372834
2439364105,3317340592
2439364105,794312942
2439364105,897067621
2439364105,197313522
2439364105,221572496
2439364105,1.05254E+18
2439364105,2437162778
2439364105,117771681
2439364105,284155483
2439364105,9.89252E+17
2439364105,15163166
2439364105,251007206
2439364105,65134016
2439364105,139627907
2439364105,1.08421E+18
2439364105,1.08122E+18
2439364105,86626845
2439364105,113740810
2439364105,49634218
2439364105,2377367690
2439364105,54953661
2439364105,32463503
2439364105,16949344
2439364105,120206023
2439364105,714873918
2439364105,123291874
2439364105,1244087220
2439364105,25952049
2439364105,88914175
2439364105,54664757
2439364105,49461278
2439364105,8.85553E+17
2439364105,8.70364E+17
2439364105,17149772
2439364105,264972971
2439364105,2966288337
2439364105,16191522
2439364105,56341402
2439364105,8143682
2439364105,7.76586E+17
2439364105,254107028
2439364105,20167623
2439364105,80422885
2439364105,130745589
2439364105,2479063608
2439364105,337400011
2439364105,62044012
2439364105,50343115
2439364105,471994096
2439364105,3413773583
2439364105,14909989
2439364105,215434394
2439364105,43912456
2439364105,9.98514E+17
2439364105,18097607
2439364105,2815077014
2439364105,105644803
2439364105,8.84839E+17
2439364105,7.09544E+17
2439364105,164339610
2439364105,15394533
2439364105,9.3805E+17
2439364105,3073577747
2439364105,3433516535
2439364105,2527755656
2439364105,9.75826E+17
2439364105,7.75449E+17
2439364105,77294018
2439364105,1482581556
2439364105,2331035372
2439364105,4783690002
2439364105,8.82257E+17
2439364105,15395859
2439364105,2852096037
2439364105,7.75727E+17
2439364105,2461375006
2439364105,49829568
2439364105,3363584909
2439364105,23101387
2439364105,1601593543
2439364105,180451291
2439364105,1428486968
2439364105,533603725
2439364105,889998600
2439364105,28315433
2439364105,44126833
2439364105,15496407
2439364105,43652382
2439364105,8.8191E+17
2439364105,2324111390
2439364105,913478190
2439364105,34615585
2439364105,599628731
2439364105,229246832
2439364105,215420646
2439364105,193797587
2439364105,44957814
2439364105,124237063
2439364105,71061891
2439364105,106895787
2439364105,19658936
2439364105,146569971
2439364105,44783853
2439364105,70837868
2439364105,18935711
2439364105,506484466
2439364105,18850305
2439364105,9.11297E+17
2439364105,23445279
2439364105,1077807962
2439364105,171464986
2439364105,464159257
2439364105,376765931
2439364105,7.29752E+17
2439364105,45592548
2439364105,36515907
2439364105,264501255
2439364105,36702731
2439364105,16245822
2439364105,1248175688
2439364105,300455440
2439364105,94062132
2439364105,17837184
2439364105,15235829
2439364105,25928253
2439364105,15723971
2439364105,14499829
2439364105,68987936
2439364105,208120290
2439364105,27922157
2439364105,13787352
2439364105,25562183
2439364105,17918663
2439364105,26077026
2439364105,11856422
2439364105,10791192
2439364105,41602160
2439364105,621543
2439364105,28160998
2439364105,21187346
2439364105,9316452
2439364105,108620647
2439364105,84327770
2439364105,17369110
2439364105,1551282932
2439364105,216939636
2439364105,2956121356
2439364105,48008938
2439364105,414102345
2439364105,414047291
2439364105,118134131
2439364105,37951240
2439364105,226373775
2439364105,243273771
2439364105,137534945
2439364105,272458747
2439364105,240019278
2439364105,190227425
2439364105,69323711
2439364105,292378125
2439364105,25523996
2439364105,188413838
2439364105,68784803
2439364105,398092540
2439364105,490783473
2439364105,172367645
2439364105,28618231
2439364105,28879731
2439364105,2307266862
2439364105,14913785
2439364105,70418674
2439364105,2333707668
2439364105,54641489
2439364105,312840253
2439364105,27295244
2439364105,95972239
2439364105,10180222
2439364105,1112605686
2439364105,19065991
2439364105,85834945
2439364105,182361596
2439364105,15134240
2439364105,18683406
2439364105,402157926
2439364105,1589376188
2439364105,16319797
2439364105,50393960
2439364105,115763683
2439364105,27013292
2439364105,38489678
2439364105,86091264
2439364105,25950355
2439364105,43904935
2439364105,262365030
2439364105,146978606
2439364105,17944633
2439364105,140980031
2439364105,182130969
2439364105,19590257
2439364105,29889165
1061141504,15637238
1061141504,41216797
1061141504,7.68765E+17
1061141504,66708144
1061141504,24499773
1061141504,50343115
1061141504,46668733
1061141504,2635806607
1061141504,64313421
1061141504,32807399
1061141504,2379951140
1061141504,544840659
1061141504,4826825292
1061141504,305960097
1061141504,7.10165E+17
1061141504,97821968
1061141504,7.46978E+17
1061141504,14514804
1061141504,15905103
1061141504,7.40208E+17
1061141504,4406579955
1061141504,633923770
1061141504,4856786657
1061141504,1471192874
1061141504,26000689
1061141504,9316452
1061141504,305687859
1061141504,7.12249E+17
1061141504,287076686
1061141504,2998896042
1061141504,116117652
1061141504,50623580
1061141504,4859069153
1061141504,75641981
1061141504,12414242
1061141504,1441892108
1061141504,16677638
1061141504,7.27284E+17
1061141504,3300214874
1061141504,68746721
1061141504,2873928633
1061141504,33836629
1061141504,929211084
1061141504,14275261
1061141504,229910053
1061141504,65647594
1061141504,101561169
1061141504,220145170
1061141504,476582730
1061141504,20656444
1061141504,158106469
1061141504,4398626122
1061141504,2981968107
1061141504,14641788
1061141504,215113195
1061141504,1611332490
1061141504,82364810
1061141504,3270678680
1061141504,2956121356
1061141504,3293011687
1061141504,109958517
1061141504,100394466
1061141504,93494670
1061141504,220139885
1061141504,3058527172
1061141504,54320049
1061141504,512692901
1061141504,2153743237
1061141504,527838270
1061141504,14551955
1061141504,33315710
1061141504,293983295
1061141504,56805505
1061141504,400458925
1061141504,2285648028
1061141504,15460024
1061141504,1284417614
1061141504,157976915
1061141504,14983080
1061141504,45370973
1061141504,597590402
1061141504,2471998820
1061141504,415906140
1061141504,195421262
1061141504,18247347
1061141504,22146921
1061141504,1306631
1061141504,14839109
1061141504,109958944
1061141504,59211780
1061141504,405033226
1061141504,46300208
1061141504,15926695
1061141504,1477712862
1061141504,85648537
1061141504,630671901
1061141504,493689130
1061141504,19725644
1061141504,807894948
1061141504,21472964
1061141504,2411276060
1061141504,26024010
1061141504,31473770
1061141504,50762782
1061141504,89028456
1061141504,21457289
1061141504,88727377
1061141504,256618990
1061141504,1921162182
1061141504,2379807103
1061141504,1493423918
1061141504,348879001
1061141504,48417486
1061141504,2329921
1061141504,255048621
1061141504,80918348
1061141504,56341402
1061141504,8143682
1061141504,1316984629
1061141504,15008596
1061141504,582161546
1061141504,13334762
1061141504,33838201
1061141504,858438721
1061141504,187521608
1061141504,1444754420
1061141504,22749856
1061141504,17972300
1061141504,40139370
1061141504,103973912
1061141504,300012060
1061141504,24174106
1061141504,177045994
